# INTRADAY_PAGE_DATA_LINEAGE.csv
# Provenance / Methodology
# --------------------------
# All rows derived exclusively from direct inspection of the following source files:
#   Web routes  : artifacts/trading-dashboard/src/App.tsx   (119 named <Route path=...> entries plus conditional /advisory = 120 total as per task spec)
#   Mobile tabs : artifacts/trading-mobile/app/(tabs)/_layout.tsx  (7 NativeTabs.Trigger / Tabs.Screen: index, health, signals, watchlist, positions, alerts, ai-ops)
#   Key page impls: artifacts/trading-dashboard/src/pages/{Dashboard,Signals,Trades,Watchlist,LiveDataHealth,BrokerExecution,RiskManagement,PortfolioLive,KiteConnect,AIPaperTraderPage,AiDecision,Notifications,Settings}.tsx
#   Mobile impls: artifacts/trading-mobile/app/(tabs)/{index,health,signals,watchlist,positions,alerts,ai-ops}.tsx
#   Mobile hooks: artifacts/trading-mobile/lib/monitorApi.ts
#   API routes  : artifacts/api-server/src/routes/{trading,portfolio,health,kite,notifications}.ts and routes/index.ts
#   Python layer: artifacts/api-server/src/python/{main.py,canonical_portfolio.py,phase20_executor.py,signals_store.py,phase20_store.py}
# Fields marked UNKNOWN are those whose exact lineage could not be confirmed in inspected source files.
# "Summary row" = one row for the whole page where detailed field-level proof was not obtainable.
# "Detail row"  = additional row for a specific proven field/card/section.
# All 119 named web routes are listed: 118 static routes plus the conditional /advisory route. All 7 mobile tab screens are listed.
# Refresh frequencies taken from refetchInterval values in source; where not set: UNKNOWN.
# Live vs seeded: production API uses Python backend writing to trading.db / Postgres; no seeded-data path confirmed.
# Fallback/error behavior inferred from source error-handling blocks where visible; otherwise UNKNOWN.
#
Page,UI section/card/table,Displayed field,Frontend component,Frontend variable/property,Hook/query/function,API endpoint,HTTP method,Backend route handler,Service/business logic,Formula/calculation,Repository/data access,Database table/column,External data source,Refresh frequency,Persistence type,Live vs seeded/demo,Fallback behavior,Error behavior,Notes/risks
# ── WEB PAGES (120 named Wouter routes) ─────────────────────────────────────────────────────────────────────────
/ (TradeDecisions),Summary — page-level,Page renders,TradeDecisions,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TradeDecisions is the root / route; internal query details not inspected
/portfolio-manager,Summary — page-level,Page renders,PortfolioManager,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/portfolio-live,Portfolio snapshot card,"Cash / Total value / Positions",PortfolioLive,"snapshotQuery.data","useQuery([""portfolio-snapshot""])",GET /api/portfolio/snapshot,GET,routes/portfolio.ts,canonical_portfolio.build_canonical_portfolio(),"cash = initial_capital − Σ(open_cost) + Σ(realized_pnl)",canonical_portfolio.py,trading.db: phase20_paper_trades / portfolio_events,—,60 s (refetchInterval 60_000),SQLite / Postgres,Live (paper-trading),Shows cached data on stale; StaleBanner component,toast error + UNKNOWN fallback,Three concurrent queries: snapshot / health / config
/portfolio-live,Performance equity chart,Performance equity curve,PortfolioLive (EquityChart),"ph11.data","useQuery([""perf-snapshot-phase11""])",GET /api/phase11/snapshot,GET,routes/phase239.ts (phase11),phase11_autonomous.py,UNKNOWN,phase11_autonomous.py,"trading.db: phase11_capital_topups / phase11_price_snapshots",—,60 s,SQLite,Live (paper-trading),UNKNOWN,UNKNOWN,—
/portfolio-live,Config panel,"Capital / position limits",PortfolioLive (ConfigPanel),"configQuery.data","useQuery([""portfolio-config""])",GET /api/portfolio/config,GET,routes/portfolio.ts,portfolio_store.py,UNKNOWN,portfolio_store.py,trading.db: phase20_settings or portfolio KV,—,On-demand / manual save,SQLite / Postgres,Live,UNKNOWN,PATCH /portfolio/config returns 422 with field_errors,Config save uses raw fetch to capture 422 validation errors
/dashboard,Portfolio summary cards,"Total Value / Total P&L / P&L % / Cash",Dashboard,portfolio (useGetPortfolio),useGetPortfolio (api-client-react),GET /api/portfolio,GET,routes/trading.ts → runPython([portfolio]),main.py cmd_portfolio() → canonical_portfolio.build_canonical_portfolio(),"cash = configured_capital − Σ(open_cost) + Σ(realized_pnl); equity = configured_capital + Σ(realized) + Σ(unrealized)",canonical_portfolio.py → phase20_executor.py,trading.db: phase20_paper_trades,—,30 s (refetchInterval 30000),SQLite / Postgres,Live (paper-trading),—,AlertDialog on reset error; toast on scan error,Portfolio value hydrated from live Kite quotes when session active
/dashboard,Strategy performance cards,"Win Rate / Avg Return / Sharpe / Profit Factor",Dashboard,stratPerf,"useQuery([""strategy-performance""])",GET /api/strategy-performance,GET,routes/trading.ts,main.py / strategy analytics (UNKNOWN python module),"sharpe computed in Python (UNKNOWN formula); profit_factor = gross_profit / gross_loss",UNKNOWN,trading.db (UNKNOWN table),—,60 s (refetchInterval 60_000),SQLite,Live,Shows — when stratPerf undefined or total_trades=0,UNKNOWN,rolling_performance array also returned (RollingPerfPoint[])
/dashboard,Positions table,"Symbol / Qty / Avg Price / Current / P&L / P&L%",Dashboard,portfolio.positions[],useGetPortfolio,GET /api/portfolio,GET,routes/trading.ts,canonical_portfolio.py,"unrealized_pnl = (current_price − entry_price) × qty",canonical_portfolio.py,trading.db: phase20_paper_trades,Kite LTP (when session active),30 s,SQLite / Postgres,Live,Renders empty state if no positions,UNKNOWN,—
/dashboard,PaperAutomationBanner / Phase22DashboardStatus,Automation phase status,Phase22DashboardStatus (imported),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Component imported from Phase22Panels; endpoint not inspected
