Page,Section,Component,Status,Data Source,Uses Real Data,Uses Placeholder,Responsive,Export Supported,Notes
Performance Analytics,Summary Cards,10 KPI cards,Working,/api/analytics/performance,Yes,No,Yes,No,Values from closed paper trades
Performance Analytics,Risk Analytics,8 gauge bars,Working,/api/analytics/performance,Yes,No,Yes,No,Flagged 'estimated' under 20 observations
Performance Analytics,Charts,Equity/DailyPnL/Monthly/Drawdown/Cumulative/WinLoss,Working,/api/analytics/performance,Yes,No,Yes,No,Recharts; empty states when no trades
Performance Analytics,Strategy Table,Strategy performance table,Working,/api/analytics/performance,Yes,No,Yes,No,Full universe listed; zero-trade rows dimmed
Performance Analytics,Sector Table,Sector performance table,Working,/api/analytics/performance,Yes,No,Yes,No,
Performance Analytics,Best/Worst,Trade cards,Working,/api/analytics/performance,Yes,No,Yes,No,
Performance Analytics,AI Performance,10 metric cards,Working,/api/analytics/performance,Yes,No,Yes,No,Estimated below 20 closed trades
Performance Analytics,Historical Table,Sortable/filterable trades,Working,/api/analytics/performance,Yes,No,Yes,Yes,Sort: date/stock/return/duration/confidence/opp score
Performance Analytics,Benchmarks,4-row comparison table,Working,/api/analytics/performance,Yes,Partial,Yes,No,Uses latest cached daily index change (est.)
Performance Analytics,Exports,JSON/CSV/Snapshot buttons,Working,/api/analytics/export,Yes,No,Yes,Yes,No true PDF export
Trade Decisions,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Portfolio Manager,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /portfolio-manager; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Dashboard,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /dashboard; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Market,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /market; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Market Scanner,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /market-scanner; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Market Replay,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /market-replay; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Signals,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /signals; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
AI Decision,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /ai-decision; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Trade Replay,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /trade-replay; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
All Trades,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /trades; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Watchlist,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /watchlist; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Backtest,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /backtest; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Validate,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /validate; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Strategy Lab,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /strategy-lab; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Optimizer,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /optimizer; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Paper Basket Test,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /paper-basket-test; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Trade Intelligence,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /trade-intelligence; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Historical Knowledge,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /historical-knowledge; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Learning Insights,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /learning-insights; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Learning Review,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /learning-review; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Pattern Quality,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /pattern-quality; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Feature Importance,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /feature-importance; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Walk-Forward Validation,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /walk-forward; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Research Factory (Experiments),Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /experiments; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Research Intelligence,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /research-intelligence; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Strategy Evolution,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /strategy-evolution; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Live Data Health,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /live-data-health; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Broker & Execution,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /broker-execution; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
AI Copilot,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /ai-copilot; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Notification Center,Page,Full page,Rendered (see screenshot),various /api endpoints,Not Verified This Phase,Not Verified This Phase,Yes,Varies,Route /notifications; built in an earlier phase — not re-audited in Phase 10; screenshot shows live state
Settings,Review Package,Generate Review Package button,Working,/api/review-package/*,Yes,No,Yes,Yes,Added in Phase 10
