section,metric,value
verdict,verdict,INSUFFICIENT_EVIDENCE
verdict,summary,"Only 10 completed OOS trades across 2 window(s). Need ≥100 trades and ≥4 windows for any evidence assessment. Recommended: train_years=2, test_months=3, step_months=3 going back ≥5 years (targets 10-12 windows and 300+ trades)."
verdict_criterion,Minimum trades for any evidence,observed=10 threshold=100 passed=False
verdict_criterion,Preferred trades (300 = research target),observed=10 threshold=300 passed=False
verdict_criterion,Minimum windows for any evidence,observed=2 threshold=4 passed=False
verdict_criterion,Preferred windows (8+),observed=2 threshold=8 passed=False
verdict_criterion,Market regime diversity (3+ canonical regimes),observed=4 threshold=3 passed=True
verdict_criterion,Profitable windows ≥ 50%,observed=50.0 threshold=50.0 passed=True
verdict_criterion,Positive expectancy after costs (₹/trade),observed=-5.97 threshold=0.0 passed=False
coverage,earliest_test_date,2026-01-13
coverage,latest_test_date,2026-07-12
coverage,years_covered,0.5
summary,total_oos_trades,10
summary,total_windows,2
summary,expectancy_per_trade_inr,-5.97
regime,Bullish,trades=1 pct=10.0% underrepresented=True
regime,Neutral-Bullish,trades=1 pct=10.0% underrepresented=True
regime,Neutral-Bearish,trades=2 pct=20.0% underrepresented=True
regime,Bearish,trades=6 pct=60.0% underrepresented=True
regime,Sideways,trades=0 pct=0.0% underrepresented=True
regime,High-Volatility,trades=0 pct=0.0% underrepresented=True
regime,Low-Volatility,trades=0 pct=0.0% underrepresented=True
regime_warning,warning,Regime 'Bullish' has only 1 trade(s) — under-represented; conclusions may not generalise
regime_warning,warning,Regime 'Neutral-Bullish' has only 1 trade(s) — under-represented; conclusions may not generalise
regime_warning,warning,Regime 'Neutral-Bearish' has only 2 trade(s) — under-represented; conclusions may not generalise
regime_warning,warning,Regime 'Bearish' has only 6 trade(s) — under-represented; conclusions may not generalise
regime_warning,warning,Regime 'Sideways' has only 0 trade(s) — under-represented; conclusions may not generalise
regime_warning,warning,Regime 'High-Volatility' has only 0 trade(s) — under-represented; conclusions may not generalise
regime_warning,warning,Regime 'Low-Volatility' has only 0 trade(s) — under-represented; conclusions may not generalise
regime_warning,warning,"No trades in regime(s): Sideways, High-Volatility, Low-Volatility — extend the date range to cover more market conditions"
strategy,Trend Rider,trades=8 net_pnl=-50.62 win_rate=25.0% expectancy=-6.33
strategy,EMA Cross,trades=1 net_pnl=2.62 win_rate=100.0% expectancy=2.62
strategy,Mean Reversion,trades=1 net_pnl=-11.75 win_rate=0.0% expectancy=-11.75
year,2026,trades=10 net_pnl=-59.75 win_rate=30.0% expectancy=-5.97
sector,METALS,trades=5 net_pnl=26.1 win_rate=60.0% expectancy=5.22
sector,ENERGY,trades=5 net_pnl=-85.85 win_rate=0.0% expectancy=-17.17
holding_period,Medium (6-15d),trades=5 net_pnl=62.51 win_rate=40.0% expectancy=12.5
holding_period,Short (1-5d),trades=4 net_pnl=-74.66 win_rate=25.0% expectancy=-18.66
holding_period,Long (16+d),trades=1 net_pnl=-47.6 win_rate=0.0% expectancy=-47.6
stability,window_count,2
stability,profitable_windows,1
stability,profitable_windows_pct,50.0
stability,median_return_pct,-0.6
stability,median_profit_factor,0.62
stability,return_dispersion,1.58
stability,best_window,W1 (2026-01-13-2026-04-12) return=0.52%
stability,worst_window,W2 (2026-04-13-2026-07-12) return=-1.72%
calibration_comparison,n_trades,10
calibration_comparison,raw_brier_score,0.3657
calibration_comparison,calibrated_brier_score,0.1971
calibration_comparison,brier_improvement,0.1686
calibration_comparison,raw_ece,0.4363
calibration_comparison,calibrated_ece,0.3168
calibration_comparison,ece_improvement,0.1195
calibration_comparison,raw_log_loss,0.9752
calibration_comparison,calibrated_log_loss,0.5846
calibration_comparison,log_loss_improvement,0.3906
calibration_comparison,calibration_helps,True
concentration_flag,warning,Stock concentration: 'HINDALCO' contributes 98% of total profitable P&L
concentration_flag,warning,Sector concentration: 'METALS' contributes 100% of total profitable P&L
concentration_flag,warning,Strategy concentration: 'Trend Rider' contributes 98% of total profitable P&L
safety,message,Out-of-sample historical performance does not guarantee future results. Paper trading and research only.
