ID,Severity,File,Issue
B1,BLOCKER,src/brokers/__init__.py,"Replaces file — destroys 7 existing exports (BrokerInterface, OrderRequest, OrderResponse, Position, Margin, PaperBroker, ZerodhaReadOnly). Server will not start."
B2,BLOCKER,src/database/repositories/__init__.py,"Replaces file — destroys 10 existing exports (InstrumentRepository, SessionRepository, IdempotencyRepository, OrderRepository, FillRepository, PositionRepository, LedgerRepository, IncidentRepository, AuditRepository, HeartbeatRepository). Server will not start."
B3,BLOCKER,src/market_data/backfill.py,"_update_result() body is pass (stub). _MutableResult exists but is never used. All result counts (bars_inserted, bars_skipped, bars_overwritten, conflicts_detected, gaps_processed) permanently return 0. At least 4 unit tests will fail."
B4,BLOCKER,src/market_data/instrument_sync.py,"Calls 4 methods absent from InstrumentRepository: get_all_for_exchange(), update_by_uq(), deactivate(), update_refresh_timestamp(). AttributeError raised on first sync() call."
W1,WARNING,zerodha_market_data.py / service.py,"asyncio.get_event_loop() called inside KiteTicker OS thread. Deprecated and unreliable in Python 3.12. Should use asyncio.run_coroutine_threadsafe() with a captured event loop."
W2,WARNING,src/market_data/bar_builder.py,"call_soon(create_task, coro) is an incorrect async scheduling pattern. create_task must receive the coroutine directly; the current form is fragile and may silently drop coroutines."
W3,WARNING,src/market_data/bar_builder.py / provider.py,"TickHandler type alias (Callable[[Tick], Awaitable[None] | None]) defined identically in both modules. bar_builder.py should import it from provider.py."
W4,WARNING,src/market_data/contracts.py,"CompletedBar._high_ge_low field_validator is a no-op (returns v unchanged). The high >= low invariant is not enforced at the Python model level; only the DB CheckConstraint catches violations."
W5,WARNING,src/database/models.py / repositories/minute_bars.py,"MinuteBar model has no UniqueConstraint on (instrument_token, timestamp). upsert_backfilled_bar() uses fetch-then-insert (TOCTOU race). Concurrent writes can produce duplicate rows silently."
W6,WARNING,src/database/models.py,"DATA_QUALITY_STATE list missing OUT_OF_ORDER and GAP_DETECTED (present in contracts.DataQualityState). Future DB persistence of these states will raise a constraint violation."
W7,WARNING,src/market_data/service.py,"_persist_bar() body is pass (placeholder). Live bars are aggregated and the callback fires but no bars are written to the database by the service."
