record_type,strategy_id,name,base_strategy,parent_id,version,status,change_summary,mutation_parameter,mutation_from,mutation_to,expected_benefit,observed_benefit,observed_drawback,profit_factor,sharpe,net_return_pct,max_drawdown_pct,trades,evidence,robustness_score,winner,confidence,recommendation,context,expectancy_rs,win_rate,experiment_ids,created_at,notes
strategy,root_trend_rider,Trend Rider,trend_rider,,1,Research,Baseline built-in strategy (version 1).,,,,,,,0.69,,,,46,MODERATE,,,,,,,,0a655cee0ae9;1e3806416eb2;95a7ff31918c;c3a16676dc3b;c3b29a0fe086,2026-07-14T15:23:05Z,EMA stack + MACD + RSI + VWAP — classic trend following
strategy,root_breakout_hunter,Breakout Hunter,breakout_hunter,,1,Research,Baseline built-in strategy (version 1).,,,,,,,,,,,,,,,,,,,,,2026-07-14T15:23:05Z,BB upper breakout + ADX strength + volume surge
strategy,root_mean_reversion,Mean Reversion,mean_reversion,,1,Research,Baseline built-in strategy (version 1).,,,,,,,1.34,,,,120,STRONG,,,,,,,,0a655cee0ae9;1e3806416eb2;95a7ff31918c;c3a16676dc3b;c3b29a0fe086,2026-07-14T15:23:05Z,RSI oversold + BB lower band bounce (non-trending market)
strategy,root_ema_cross,EMA Cross,ema_cross,,1,Research,Baseline built-in strategy (version 1).,,,,,,,,,,,1,INSUFFICIENT,,,,,,,,1e3806416eb2,2026-07-14T15:23:05Z,EMA9 golden cross above EMA20 — simple momentum entry
strategy,root_macd_cross,MACD Cross,macd_cross,,1,Research,Baseline built-in strategy (version 1).,,,,,,,0.52,,,,69,MODERATE,,,,,,,,0a655cee0ae9;95a7ff31918c;c3a16676dc3b;c3b29a0fe086,2026-07-14T15:23:05Z,MACD line crosses above signal — momentum entry
strategy,root_supertrend_follow,Supertrend,supertrend_follow,,1,Research,Baseline built-in strategy (version 1).,,,,,,,,,,,,,,,,,,,,,2026-07-14T15:23:05Z,Trade Supertrend direction flip to UP — sustained trend
strategy,3fd2e66958e3,Trend Rider — confidence_threshold=60,trend_rider,root_trend_rider,2,Archived,confidence_threshold: 55 → 60 (score),confidence_threshold,55,60,Higher thresholds trade less but may improve win rate; lower thresholds increase sample size.,Profit factor +0.34 vs parent,,0.69,,,,46,MODERATE,75,,,,,,,0a655cee0ae9,2026-07-14T15:23:06Z,Controlled mutation of Trend Rider: only 'confidence_threshold' changed (55 → 60). Requires human approval before any use.
strategy,ff66dfb193a5,Trend Rider — confidence_threshold=65,trend_rider,root_trend_rider,2,Draft,confidence_threshold: 55 → 65 (score),confidence_threshold,55,65,Higher thresholds trade less but may improve win rate; lower thresholds increase sample size.,,,0.69,,,,46,MODERATE,,,,,,,,,2026-07-14T15:23:06Z,Controlled mutation of Trend Rider: only 'confidence_threshold' changed (55 → 65). Requires human approval before any use.
strategy,505565311ecf,Trend Rider — confidence_threshold=70,trend_rider,root_trend_rider,2,Draft,confidence_threshold: 55 → 70 (score),confidence_threshold,55,70,Higher thresholds trade less but may improve win rate; lower thresholds increase sample size.,,,0.69,,,,46,MODERATE,,,,,,,,,2026-07-14T15:23:06Z,Controlled mutation of Trend Rider: only 'confidence_threshold' changed (55 → 70). Requires human approval before any use.
strategy,4b814b5c33a8,Trend Rider — confidence_threshold=75,trend_rider,root_trend_rider,2,Draft,confidence_threshold: 55 → 75 (score),confidence_threshold,55,75,Higher thresholds trade less but may improve win rate; lower thresholds increase sample size.,,,0.69,,,,46,MODERATE,,,,,,,,,2026-07-14T15:23:06Z,Controlled mutation of Trend Rider: only 'confidence_threshold' changed (55 → 75). Requires human approval before any use.
strategy,382749947f3d,Trend Rider — holding_days=5,trend_rider,root_trend_rider,3,Draft,holding_days: 20 → 5 (days),holding_days,20,5,Shorter holds reduce time-based exits and exposure; longer holds let trends develop.,,,0.69,,,,46,MODERATE,,,,,,,,,2026-07-14T15:23:06Z,Controlled mutation of Trend Rider: only 'holding_days' changed (20 → 5). Requires human approval before any use.
strategy,cbc67a70c32a,Trend Rider — holding_days=10,trend_rider,root_trend_rider,3,Draft,holding_days: 20 → 10 (days),holding_days,20,10,Shorter holds reduce time-based exits and exposure; longer holds let trends develop.,,,0.69,,,,46,MODERATE,,,,,,,,,2026-07-14T15:23:06Z,Controlled mutation of Trend Rider: only 'holding_days' changed (20 → 10). Requires human approval before any use.
strategy,ede58d25fc4d,Trend Rider — holding_days=15,trend_rider,root_trend_rider,3,Draft,holding_days: 20 → 15 (days),holding_days,20,15,Shorter holds reduce time-based exits and exposure; longer holds let trends develop.,,,0.69,,,,46,MODERATE,,,,,,,,,2026-07-14T15:23:06Z,Controlled mutation of Trend Rider: only 'holding_days' changed (20 → 15). Requires human approval before any use.
strategy,4392ad527908,Trend Rider — holding_days=30,trend_rider,root_trend_rider,3,Draft,holding_days: 20 → 30 (days),holding_days,20,30,Shorter holds reduce time-based exits and exposure; longer holds let trends develop.,,,0.69,,,,46,MODERATE,,,,,,,,,2026-07-14T15:23:06Z,Controlled mutation of Trend Rider: only 'holding_days' changed (20 → 30). Requires human approval before any use.
ab_test,3fd2e66958e3,Trend Rider vs Trend Rider — confidence_threshold=60,,,,,,,,,,,,0.86,-0.61,,,63,,,candidate,LOW,"Comparison is NOT fully controlled (differing: start_date, end_date). Re-run both experiments with identical settings before drawing conclusions.",,,,95a7ff31918c;0a655cee0ae9,2026-07-14T15:23:18Z,
lesson_works_well,,Mean Reversion,,,,,,,,,,,,,,,,9,INSUFFICIENT,,,,,Sector: ENERGY,15.27,77.8,0a655cee0ae9;1e3806416eb2;95a7ff31918c;c3a16676dc3b;c3b29a0fe086,,
lesson_works_well,,Mean Reversion,,,,,,,,,,,,,,,,32,MODERATE,,,,,Market regime: Neutral-Bullish,9.47,78.1,0a655cee0ae9;95a7ff31918c;c3a16676dc3b;c3b29a0fe086,,
