discrepancy,development_value,production_value,authoritative_source,root_cause,code_drift,config_drift,db_drift,fix_required,deployment_required,user_decision_required
active_universe,"Development source supports persisted selection with NIFTY_50 fallback; prior RTV baseline was NIFTY_50/50","phase20_settings id=1 is CUSTOM_LOW_PRICE_SECTOR; custom master has 23 active rows","Production phase20_settings.data.active_intraday_universe plus custom_universe_master","Current persisted setting changed at 2026-08-21 17:40:14Z; latest data-bearing scan at 10:02:20Z predates it and used 50 symbols","no","yes","no","no—do not switch universe without approval","no","yes"
latest_scan_universe,"Current scheduler and live scan source read the persisted universe at runtime","Latest non-empty production scan 76e307f291e7 requested/received 50 symbols; current weekend ticks have no scan payload","Production phase20_scan_runs and scan_state","Historical NIFTY_50 scan predates persisted CUSTOM_LOW_PRICE_SECTOR setting; current scheduler is configured to use the persisted custom mode when market opens","no","yes","no","no—requires next open-session observation only","no","no"
portfolio_cash,"Current canonical formula is initial_capital - open_cost + realized_pnl","/api/portfolio cash=99721.26; /api/portfolio/snapshot cash=100000","Production phase20_paper_trades ledger: 100000 + (-278.74) - 0 = 99721.26","Snapshot path reads an empty local portfolio-service snapshot instead of the closed Phase-20 ledger","yes","no","yes","yes","yes","no"
realized_pnl,"Current canonical formula sums realized_pnl on CLOSED Phase-20 rows","/api/portfolio=-278.74; /api/portfolio/snapshot total_pnl=0 and realised_pnl_today=0","Production phase20_paper_trades: six CLOSED rows sum to -278.74","Snapshot payload state_version=1 contains no realized history despite ledger rows already being closed","yes","no","yes","yes","yes","no"
total_equity,"Current canonical formula is initial_capital + realized_pnl + unrealized_pnl","/api/portfolio total_value=99721.26; /api/portfolio/snapshot equity=100000","Production Phase-20 ledger reconstruction","Snapshot is stale/wrong for the same portfolio scope; no open positions or unrealized P&L exist","yes","no","yes","yes","yes","no"
portfolio_snapshot,"Current source maps the canonical ledger into portfolio_snapshot","Production endpoint reports position_source=portfolio_service and an empty local snapshot created after the ledger losses","Production portfolio_snapshots latest row and response payload","Deployed snapshot implementation is older than the current canonical unification behavior","yes","no","yes","yes","yes","no"
instrument_token_coverage,"Current source exposes a safe instrument-cache refresh but the active custom scan is symbol-based","Daily Kite cache refreshed to 10222 rows; active custom master mappings remain 0/23","Production custom_universe_master.instrument_token for the 23 active rows","The refreshed reference cache is not propagated to custom-universe metadata; custom scan/quote plumbing currently works by symbol","no","no","yes","yes","yes","no"
market_data_readiness,"RTV-1 commit c91e4760 includes the market_data_readiness contract","Production /api/live-data/health-v2 has legacy keys only and no market_data_readiness object","Production endpoint response shape","Production build predates RTV-1 market-data readiness contract","yes","no","no","yes","yes","no"
kite_persistence_hardening,"Current token-store source still permits suppressed durable-store errors","Production session is valid, stored, connected, and live-quote capable","Static source audit; production status proves only the current session works","Hardening gap: callback can report success after a warm-file-only write if durable storage fails; not the cause of this incident","no","no","no","yes","yes","no"
runtime_environment_identity,"No current non-secret identity response is exposed by the source route surface","Production provides no build_id, git_commit, deployment_id, or environment identity endpoint","Production HTTP route surface and deployment metadata","Missing diagnostic contract prevents direct commit-to-deployment comparison","no","no","no","yes","yes","no"
