route,method,backing_command_or_function,scan_or_lifecycle_side_effect,persistence_or_order_side_effect,verified_contract
/api/live-data/recommendations,GET,readLatestP7Scan -> scan_snapshot,None,None,"Reads only the latest successful canonical snapshot; no snapshot returns 503 NO_SNAPSHOT_AVAILABLE; force is rejected"
/api/live-data/scan,GET,readLatestP7Scan -> scan_snapshot plus get_rr_gap_symbols,None,None,"Read-only snapshot/annotation route; force is rejected with 405 and POST /scan/run is the explicit compute route"
/api/live-data/scan/run,POST,getP7Scan -> phase7_scan,Explicit scan only,None,"API-triggered scans are stamped API_TRIGGERED and cannot certify readiness"
/api/live-data/health,GET,phase7_health,None,None,"Read-only health report"
/api/live-data/coverage,GET,scanner_coverage,None,None,"Read-only coverage report; route does not invoke a scan"
/api/live-data/scan/status,GET,scan_status,None,None,"Reads durable canonical scan metadata"
/api/live-data/scan/history,GET,scan_history,None,None,"Reads durable scan history"
/api/phase20/evaluation,GET,phase20_evaluate -> evaluate_entries,None,None,"Performs advisory gate calculation from current evidence; no scan, lifecycle, persistence, or order placement"
/api/preopen/status,GET,preopen_status -> get_status,None,None,"Reads status/snapshots and performs a provider health probe only"
/api/preopen/health,GET,preopen_health -> get_health,None,None,"Provider health probe only; provider telemetry persistence removed in RTV-2A"
/api/preopen/snapshot,GET,preopen_snapshot -> get_snapshot,None,None,"Reads durable snapshots"
/api/preopen/report,GET,preopen_report -> get_report,None,None,"Reads session/snapshot/watchlist/reconciliation evidence"
/api/preopen/refresh,POST,preopen_refresh -> collect_snapshot,Explicit lifecycle collection,Persists pre-open session/snapshots,"Separate manual action; not used by RTV-2A validation"
/api/kite/status,GET,kite_status,None,None,"May perform authenticated connectivity/token probe; no broker order or lifecycle action"
/api/kite/quote and /api/kite/ltp,GET,kite_quote or kite_ltp,None,None,"Broker market-data reads/cache behavior only"
/api/kite/holdings positions margins orders,GET,Kite getter commands,None,None,"Broker account/order-history reads only"
/api/kite/instruments/search and /status,GET,Kite instrument read commands,None,None,"Instrument lookup/status reads only"
/api/readiness/*,GET,readiness report commands,None,None,"Read-only/advisory reports; scheduled-origin requirement is applied to trading-data readiness"
/api/health/ready and /api/health/details,GET,market/coverage/live health probes,None,None,"Read/probe-only health reports; do not invoke phase7_scan"
/api/observability/*,GET,observability report commands,None,None,"Read-only diagnostic/report calculations; no scan/lifecycle/order path"
