# RTV-0 runtime database inventory. Read-only inspection; no schema or data changes.
# latest_observed_timestamp is the maximum selected candidate timestamp per table; blank means none observed.
table_name,observed_row_count,latest_observed_timestamp,authority_class,apparent_writer,apparent_reader,rtv0_note
"_safe_migrations","2","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"alert_deliveries","0","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"backtest_candle_meta","63","2026-08-12 03:57:12.586549+00","RESEARCH_VALIDATION","research workflow","research and validation UI","Observed in development runtime public schema"
"backtest_candles","66716","2026-08-12 03:45:00+00","RESEARCH_VALIDATION","research workflow","research and validation UI","Observed in development runtime public schema"
"backtest_corporate_actions","0","","RESEARCH_VALIDATION","research workflow","research and validation UI","Observed in development runtime public schema"
"backtest_runs","39","2026-08-12 14:27:07.614608+00","RESEARCH_VALIDATION","research workflow","research and validation UI","Observed in development runtime public schema"
"backtest_trades","65","2026-08-11 08:44:27.661235+00","RESEARCH_VALIDATION","research workflow","research and validation UI","Observed in development runtime public schema"
"broker_reconciliation_discrepancies","0","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"broker_reconciliation_runs","21","2026-08-21 10:30:50.494902+00","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"certification_runs","2","2026-08-09 09:04:18.37+00","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"custom_universe_master","25","2026-08-21 15:16:20.459814+00","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"custom_universe_membership_history","29","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"daily_ohlcv_cache","6399","2026-08-21 10:00:56.6402+00","CANONICAL_RUNTIME","Phase20 or scan-state writer","scan scheduler and API readers","Observed in development runtime public schema"
"daily_ohlcv_refresh_state","8","2026-08-21 10:00:56.652396+00","CANONICAL_RUNTIME","Phase20 or scan-state writer","scan scheduler and API readers","Observed in development runtime public schema"
"data_quality_runs","19","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"experimental_paper_trades","0","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"nifty50_company_master","51","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"paper_portfolio","1","2026-08-21 03:30:40.813236+00","LEGACY_COMPATIBILITY","legacy paper trader","compatibility readers","Observed in development runtime public schema"
"paper_trades","12","2026-08-07 04:17:06.653201+00","LEGACY_COMPATIBILITY","legacy paper trader","compatibility readers","Observed in development runtime public schema"
"phase11_price_snapshots","33","2026-08-08 20:46:18.309143+00","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"phase20_eod_outcomes","64","2026-08-22T17:33:06Z","CANONICAL_RUNTIME","Phase20 or scan-state writer","scan scheduler and API readers","Observed in development runtime public schema"
"phase20_kv","1136","2026-08-22 22:00:04.135751+00","CANONICAL_RUNTIME","Phase20 or scan-state writer","scan scheduler and API readers","Observed in development runtime public schema"
"phase20_notifications","5767","2026-08-21 10:30:50.589376+00","CANONICAL_RUNTIME","Phase20 or scan-state writer","scan scheduler and API readers","Observed in development runtime public schema"
"phase20_paper_trades","4","2026-08-19 04:19:07.810368+00","CANONICAL_RUNTIME","Phase20 or scan-state writer","scan scheduler and API readers","Observed in development runtime public schema"
"phase20_scan_runs","1048","2026-08-22 22:00:04.238903+00","CANONICAL_RUNTIME","Phase20 or scan-state writer","scan scheduler and API readers","Observed in development runtime public schema"
"phase20_scheduler_state","1","2026-08-22 22:04:04.181645+00","CANONICAL_RUNTIME","Phase20 or scan-state writer","scan scheduler and API readers","Observed in development runtime public schema"
"phase20_settings","1","2026-08-21 08:15:34.672395+00","CANONICAL_RUNTIME","Phase20 or scan-state writer","scan scheduler and API readers","Observed in development runtime public schema"
"phase22_evidence","1020","2026-08-14 09:39:35.670322+00","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"phase24_missed_opps","604","2026-08-20 18:30:54.991992+00","RESEARCH_VALIDATION","research workflow","research and validation UI","Observed in development runtime public schema"
"phase24_recommendations","103","2026-08-20 18:30:55.436022+00","RESEARCH_VALIDATION","research workflow","research and validation UI","Observed in development runtime public schema"
"phase24_reports","14","2026-08-20 18:30:55.683365+00","RESEARCH_VALIDATION","research workflow","research and validation UI","Observed in development runtime public schema"
"phase24_trade_intelligence","4","2026-08-19 18:31:09.749043+00","RESEARCH_VALIDATION","research workflow","research and validation UI","Observed in development runtime public schema"
"phase26_daily_reports","13","2026-08-20 18:30:46.040656+00","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"phase26_issues","68","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"phase26_live_snapshots","664","2026-08-21 09:55:43.824806+00","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"phase26_validation_runs","7","2026-08-09 13:41:50.626511+00","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"phase26c_results","72","2026-08-21 04:15:42.66692+00","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"pipeline_events","773946","2026-08-21 09:55:48.727877+00","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"portfolio_config_overrides","0","","SECONDARY_PORTFOLIO_SERVICE","portfolio service","portfolio snapshot and health","Observed in development runtime public schema"
"portfolio_events","9079","2026-08-22 22:03:53.341465+00","SECONDARY_PORTFOLIO_SERVICE","portfolio service","portfolio snapshot and health","Observed in development runtime public schema"
"portfolio_snapshots","6735","2026-08-21 09:56:32.654215+00","SECONDARY_PORTFOLIO_SERVICE","portfolio service","portfolio snapshot and health","Observed in development runtime public schema"
"preopen_candidate_outcomes","130","2026-08-21 09:59:00.294748+00","SCHEDULED_VALIDATION_AUDIT","preopen or validation scheduler","preopen and validation UI","Observed in development runtime public schema"
"preopen_daily_reports","7","2026-08-21 09:59:00.526029+00","SCHEDULED_VALIDATION_AUDIT","preopen or validation scheduler","preopen and validation UI","Observed in development runtime public schema"
"preopen_factor_metrics","64","2026-08-21 09:59:00.443161+00","SCHEDULED_VALIDATION_AUDIT","preopen or validation scheduler","preopen and validation UI","Observed in development runtime public schema"
"preopen_provider_health","7","2026-08-22 22:03:58.709548+00","SCHEDULED_VALIDATION_AUDIT","preopen or validation scheduler","preopen and validation UI","Observed in development runtime public schema"
"preopen_rankings","13","2026-08-21 03:46:53.902445+00","SCHEDULED_VALIDATION_AUDIT","preopen or validation scheduler","preopen and validation UI","Observed in development runtime public schema"
"preopen_reconciliation","130","2026-08-21 03:50:06.164138+00","SCHEDULED_VALIDATION_AUDIT","preopen or validation scheduler","preopen and validation UI","Observed in development runtime public schema"
"preopen_score_band_metrics","48","2026-08-21 09:59:00.305661+00","SCHEDULED_VALIDATION_AUDIT","preopen or validation scheduler","preopen and validation UI","Observed in development runtime public schema"
"preopen_sessions","21","2026-08-21 03:59:02.470909+00","SCHEDULED_VALIDATION_AUDIT","preopen or validation scheduler","preopen and validation UI","Observed in development runtime public schema"
"preopen_snapshots","1480","2026-08-21 03:44:41.589567+00","SCHEDULED_VALIDATION_AUDIT","preopen or validation scheduler","preopen and validation UI","Observed in development runtime public schema"
"preopen_validation_sessions","19","2026-08-21 09:59:00.544921+00","SCHEDULED_VALIDATION_AUDIT","preopen or validation scheduler","preopen and validation UI","Observed in development runtime public schema"
"preopen_watchlists","104","2026-08-21 03:46:53.890378+00","SCHEDULED_VALIDATION_AUDIT","preopen or validation scheduler","preopen and validation UI","Observed in development runtime public schema"
"push_subscriptions","0","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"reconciliation_runs","2149","2026-08-22 22:03:53.295609+00","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"scan_lock","1","","OTHER_RUNTIME_AUDIT","UNKNOWN","UNKNOWN","Observed in development runtime public schema"
"scan_state","1","2026-08-21 09:55:48.709202+00","CANONICAL_RUNTIME","Phase20 or scan-state writer","scan scheduler and API readers","Observed in development runtime public schema"
