check,expected,production_observation,status,notes
runtime_identity.git_commit,3ca36c4847c6309149aaf78a94da87b529034881,unknown,FAIL,"Mandatory identity gate failed; post-deploy verification stopped"
runtime_identity.environment,production,production,PASS,"Environment field was present"
runtime_identity.build_id,approved candidate build ID,apexquant-v1.0.0,FAIL,"Runtime is not identifiable as the approved candidate"
runtime_identity.deployment_id,identified,0d018179-abe0-42c2-a554-dbb19d11341f,OBSERVED,"Deployment identifier present but does not establish source commit"
kite.credentials_present,true,true,PASS,"Read-only status response"
kite.token_status,VALID,VALID,PASS,"Read-only status response"
kite.token_stored,true,true,PASS,"Read-only status response"
kite.connected,true,true,PASS,"Read-only status response"
active_universe.name,CUSTOM_LOW_PRICE_SECTOR,CUSTOM_LOW_PRICE_SECTOR,PASS,"No membership mutation performed"
active_universe.count,23,23,PASS,"Status endpoint"
active_universe.sectors,"BANK=9;INFRA=13;IT=1","BANK=9;INFRA=13;IT=1",PASS,"Status endpoint"
custom_universe.instrument_token_coverage,23/23,0/23,FAIL,"Production active rows still returned null instrument_token"
portfolio.initial_capital,100000,100000,PASS,"Ledger-backed endpoint"
portfolio.cash,99721.26,99721.26,PASS,"Ledger-backed endpoint"
portfolio.realized_pnl,-278.74,-278.74,PASS,"Ledger-backed endpoint"
portfolio.unrealized_pnl,0,0,PASS,"No open positions"
portfolio.total_equity,99721.26,99721.26,PASS,"Ledger-backed endpoint"
portfolio.open_position_count,0,0,PASS,"Ledger-backed endpoint"
portfolio_snapshot.shared_fields,match,/api/portfolio values match,PASS,"Canonical parity observed"
raw_ledger.closed_row_count,6,6,"PREVIOUSLY OBSERVED","Post-mismatch raw-row requery intentionally not performed"
raw_ledger.realized_pnl,-278.74,-278.74,"PREVIOUSLY OBSERVED","Captured pre-deploy evidence; no mutation performed"
raw_ledger.cash_equation,100000+-278.74=99721.26,100000+-278.74=99721.26,"PREVIOUSLY OBSERVED","Captured pre-deploy evidence"
readiness.service_ready,true,true,PASS,"Production readiness response"
readiness.data_ready,true,true,PASS,"Production readiness response"
readiness.session_fresh,false,false,PASS,"Market was closed/stale; this is expected"
readiness.trading_data_ready,false,false,PASS,"Fail-closed due stale/incomplete market data"
readiness.active_universe_count,23,50,FAIL,"Readiness reflected legacy scan context"
readiness.token_coverage_pct,100,2,FAIL,"Legacy readiness context; not acceptable for 23-symbol certification"
readiness.symbols_synthetic,0,0,PASS,"No synthetic symbols reported"
orders.called,none,none,PASS,"No order endpoint was called"
deployment_verdict,production pass,commit mismatch,FAIL,"Stop condition applied"
